id,package_name,products,price
1,Stand-alone grid-enabled open architecture,"[{},{},{},{}]",$27.51
2,Innovative dedicated success,"[{},{},{},{},{}]",$22.22
3,Future-proofed well-modulated core,"[{},{},{},{}]",$23.38
4,Profit-focused multi-tasking core,"[{},{},{},{},{}]",$27.30
5,Sharable optimizing model,"[{},{},{}]",$20.76
6,Public-key content-based superstructure,"[{},{},{},{},{}]",$21.21
7,Innovative analyzing open architecture,"[{},{},{},{},{}]",$25.63
8,Down-sized human-resource customer loyalty,"[{},{},{},{},{}]",$27.11
9,Ergonomic 4th generation project,"[{},{},{},{},{}]",$25.71
10,Optimized client-server archive,"[{},{},{}]",$21.57
11,Centralized context-sensitive initiative,"[{},{},{}]",$24.13
12,Right-sized asynchronous firmware,"[{},{},{},{},{}]",$23.53
13,Enterprise-wide transitional framework,"[{},{},{}]",$24.29
14,De-engineered dedicated customer loyalty,"[{},{},{},{},{}]",$29.29
15,Automated well-modulated monitoring,"[{},{},{}]",$26.74
16,Horizontal explicit Graphic Interface,"[{},{},{},{}]",$26.99
17,Inverse regional challenge,"[{},{},{},{}]",$22.83
18,Pre-emptive responsive customer loyalty,"[{},{},{}]",$23.04
19,Intuitive web-enabled hub,"[{},{},{},{},{}]",$27.94
20,Synergistic global moderator,"[{},{},{}]",$28.53
21,Persevering disintermediate customer loyalty,"[{},{},{}]",$26.85
22,Integrated empowering pricing structure,"[{},{},{}]",$25.32
23,Business-focused multi-state standardization,"[{},{},{}]",$26.62
24,Business-focused object-oriented pricing structure,"[{},{},{},{}]",$24.97
25,Streamlined full-range application,"[{},{},{}]",$23.10
26,Multi-lateral next generation architecture,"[{},{},{}]",$27.56
27,Re-contextualized multi-state protocol,"[{},{},{}]",$29.59
28,Advanced holistic architecture,"[{},{},{},{},{}]",$24.62
29,Streamlined transitional frame,"[{},{},{},{},{}]",$29.88
30,Customer-focused zero administration attitude,"[{},{},{},{}]",$23.07
31,Total encompassing migration,"[{},{},{}]",$27.35
32,Public-key web-enabled protocol,"[{},{},{},{},{}]",$24.52
33,Managed impactful ability,"[{},{},{}]",$29.85
34,Face to face tangible alliance,"[{},{},{},{},{}]",$25.07
35,Down-sized real-time complexity,"[{},{},{},{},{}]",$27.86
36,Balanced heuristic firmware,"[{},{},{}]",$28.88
37,Networked high-level pricing structure,"[{},{},{},{},{}]",$28.01
38,User-centric directional synergy,"[{},{},{}]",$26.15
39,Pre-emptive logistical migration,"[{},{},{},{}]",$23.30
40,Monitored neutral synergy,"[{},{},{},{},{}]",$29.34
41,Multi-layered stable support,"[{},{},{},{},{}]",$20.44
42,Secured disintermediate application,"[{},{},{},{},{}]",$25.79
43,Multi-layered bifurcated conglomeration,"[{},{},{},{}]",$28.12
44,Synchronised leading edge projection,"[{},{},{},{}]",$24.56
45,Reactive clear-thinking concept,"[{},{},{}]",$25.13
46,Reverse-engineered stable installation,"[{},{},{},{},{}]",$27.60
47,Upgradable exuding info-mediaries,"[{},{},{},{},{}]",$25.49
48,Sharable dedicated implementation,"[{},{},{}]",$27.34
49,Polarised fresh-thinking parallelism,"[{},{},{}]",$22.91
50,Total 5th generation middleware,"[{},{},{}]",$23.53
51,Expanded fresh-thinking extranet,"[{},{},{},{},{}]",$25.77
52,Monitored full-range complexity,"[{},{},{}]",$21.65
53,Advanced actuating system engine,"[{},{},{},{}]",$25.74
54,Synergistic systematic knowledge user,"[{},{},{}]",$21.24
55,Up-sized neutral infrastructure,"[{},{},{}]",$22.71
56,Progressive radical workforce,"[{},{},{}]",$26.91
57,Multi-channelled hybrid initiative,"[{},{},{},{}]",$27.89
58,Public-key even-keeled monitoring,"[{},{},{},{},{}]",$29.80
59,Reduced upward-trending knowledge base,"[{},{},{}]",$26.81
60,Self-enabling next generation knowledge user,"[{},{},{},{},{}]",$26.41
61,Polarised cohesive migration,"[{},{},{}]",$23.22
62,Assimilated next generation strategy,"[{},{},{},{},{}]",$26.33
63,Down-sized solution-oriented neural-net,"[{},{},{}]",$24.64
64,Virtual radical product,"[{},{},{},{},{}]",$27.19
65,Distributed explicit leverage,"[{},{},{}]",$26.98
66,Visionary uniform moratorium,"[{},{},{}]",$25.44
67,Fundamental next generation internet solution,"[{},{},{}]",$21.31
68,Front-line national capacity,"[{},{},{},{}]",$27.22
69,Stand-alone modular encoding,"[{},{},{},{}]",$24.13
70,Grass-roots optimal knowledge base,"[{},{},{}]",$24.95
71,Enterprise-wide mobile intranet,"[{},{},{}]",$20.88
72,Devolved optimal approach,"[{},{},{}]",$26.28
73,Customizable dedicated benchmark,"[{},{},{}]",$26.92
74,Focused local matrix,"[{},{},{},{}]",$20.82
75,Object-based 24/7 standardization,"[{},{},{},{},{}]",$28.14
76,Cloned multi-tasking flexibility,"[{},{},{},{},{}]",$22.01
77,Programmable web-enabled definition,"[{},{},{},{},{}]",$20.71
78,Decentralized tertiary array,"[{},{},{},{},{}]",$21.11
79,Triple-buffered foreground monitoring,"[{},{},{},{}]",$29.88
80,Grass-roots non-volatile website,"[{},{},{},{}]",$27.05
81,Managed non-volatile task-force,"[{},{},{},{},{}]",$20.60
82,Balanced bi-directional extranet,"[{},{},{},{}]",$21.04
83,Digitized asynchronous forecast,"[{},{},{}]",$26.27
84,Right-sized well-modulated website,"[{},{},{},{}]",$29.06
85,Triple-buffered global groupware,"[{},{},{}]",$27.56
86,Multi-lateral dedicated installation,"[{},{},{}]",$23.51
87,Monitored disintermediate adapter,"[{},{},{},{}]",$23.36
88,Face to face systemic access,"[{},{},{},{}]",$26.65
89,Digitized mission-critical project,"[{},{},{},{},{}]",$21.80
90,Streamlined client-server installation,"[{},{},{},{}]",$25.73
91,Switchable analyzing infrastructure,"[{},{},{},{},{}]",$23.45
92,Face to face stable circuit,"[{},{},{},{},{}]",$21.99
93,Front-line didactic local area network,"[{},{},{}]",$29.72
94,Focused didactic service-desk,"[{},{},{},{}]",$24.85
95,Decentralized modular knowledge base,"[{},{},{},{}]",$26.74
96,Devolved neutral core,"[{},{},{},{}]",$29.11
97,Profound motivating Graphical User Interface,"[{},{},{},{},{}]",$22.11
98,Vision-oriented multimedia algorithm,"[{},{},{},{},{}]",$21.23
99,Ameliorated static website,"[{},{},{},{},{}]",$22.54
100,Devolved global support,"[{},{},{},{}]",$29.59
